Code,Stock,Company,Sector,Market,Price,EPS,ROE,YoY,QoQ,ConQ,TopQ,RYoY,RQoQ,RConQ,RTopQ
6947,DIGI,DIGI.COM BERHAD,Telecommunications & Media,Main Market,4.180,16.51,206.38,No,No,No,No,No,No,No,No
0155,MGRC,MALAYSIAN GENOMICS RESOURCE CENTRE BERHAD,Health Care,Ace Market,0.860,15.75,172.86,Yes,No,No,No,No,No,No,No
2836,CARLSBG,CARLSBERG BREWERY MALAYSIA BERHAD,Consumer Products & Services,Main Market,23.000,63.20,137.39,No,No,No,No,No,No,No,No
0829EB,CHINAETF-USD,TRADEPLUS S&P NEW CHINA TRACKER-USD,ETF-Equity,ETF,1.980,240.84,112.28,No,No,No,No,No,No,No,No
5835,DOLMITE,DOLOMITE CORPORATION BERHAD,Industrial Products & Services,Main Market,0.110,12.70,97.68,Yes,Yes,No,Yes,Yes,No,No,No
4707,NESTLE,NESTLE (MALAYSIA) BERHAD,Consumer Products & Services,Main Market,140.900,235.41,93.05,No,No,No,No,No,No,No,No
7113,TOPGLOV,TOP GLOVE CORPORATION BHD,Health Care,Main Market,6.640,50.40,73.04,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
4162,BAT,BRITISH AMERICAN TOBACCO (MALAYSIA) BERHAD,Consumer Products & Services,Main Market,14.360,92.10,72.52,No,No,No,No,No,No,No,No
3255,HEIM,HEINEKEN MALAYSIA BERHAD,Consumer Products & Services,Main Market,22.900,63.29,64.58,No,No,No,No,No,No,No,No
7106,SUPERMX,SUPERMAX CORPORATION BERHAD,Health Care,Main Market,6.840,47.43,57.84,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
6399,ASTRO,ASTRO MALAYSIA HOLDINGS BERHAD,Telecommunications & Media,Main Market,0.910,9.80,50.93,No,No,No,No,No,No,No,No
3026,DLADY,DUTCH LADY MILK INDUSTRIES BERHAD,Consumer Products & Services,Main Market,37.520,124.80,46.40,No,No,No,No,Yes,Yes,No,Yes
0830EA,FANG-2XL,TRADEPLUS NYSE FANG+ DAILY (2X) LEVERAGED TRACKER,None,None,11.040,793.20,42.64,No,No,No,Yes,No,No,No,Yes
0163,CAREPLS,CAREPLUS GROUP BERHAD,Health Care,Ace Market,2.420,14.72,42.57,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
7100,UCHITEC,UCHI TECHNOLOGIES BERHAD,Industrial Products & Services,Main Market,2.650,15.77,40.45,No,No,No,Yes,No,No,No,No
03023,SMILE,SMILE-LINK HEALTHCARE GLOBAL BERHAD,Health Care,Leap Market,0.175,1.91,40.39,No,No,No,No,No,No,No,No
1818,BURSA,BURSA MALAYSIA BERHAD,Financial Services,Main Market,8.800,39.36,40.17,Yes,Yes,No,Yes,Yes,Yes,No,Yes
5250,SEM,7-ELEVEN MALAYSIA HOLDINGS BERHAD,Consumer Products & Services,Main Market,1.320,2.97,40.01,No,No,No,No,Yes,Yes,Yes,Yes
03010,MYKRIS,MYKRIS INTERNATIONAL BERHAD,Telecomunications & Media,Leap Market,0.610,6.32,39.48,No,Yes,No,No,No,Yes,No,No
0150,FINTEC,FINTEC GLOBAL BERHAD,Financial Services,Ace Market,0.100,34.92,38.05,Yes,Yes,No,Yes,Yes,Yes,No,No
1724,PARAMON,PARAMOUNT CORPORATION BERHAD,Property,Main Market,0.865,84.98,36.79,Yes,No,No,No,No,No,No,No
03036,RPLANET,REDPLANET BERHAD,Technology,Leap Market,0.325,3.37,36.11,No,No,No,No,No,No,No,No
5105,CANONE,CAN-ONE BERHAD,Industrial Products & Services,Main Market,2.880,330.49,36.08,No,No,No,No,No,No,No,No
2127,COMFORT,COMFORT GLOVES BERHAD,Industrial Products & Services,Main Market,3.340,27.40,35.58,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
9792,SEG,SEG INTERNATIONAL BHD,Consumer Products & Services,Main Market,0.630,3.25,34.20,No,No,No,No,No,No,No,No
03025,ENEST,ENEST GROUP BERHAD,Consumer Products & Services,Leap Market,0.130,1.07,33.17,No,No,No,No,No,No,No,No
0208,GREATEC,GREATECH TECHNOLOGY BERHAD,Technology,Ace Market,8.330,12.35,30.34,No,Yes,No,Yes,No,Yes,No,Yes
7501,HARNLEN,HARN LEN CORPORATION BHD,Plantation,Main Market,0.700,49.41,29.95,Yes,Yes,No,Yes,Yes,Yes,No,No
5168,HARTA,HARTALEGA HOLDINGS BERHAD,Health Care,Main Market,12.360,29.22,29.51,Yes,Yes,No,Yes,Yes,Yes,No,Yes
5292,UWC,UWC BERHAD,Technology,Main Market,9.590,12.41,28.85,No,Yes,Yes,Yes,No,Yes,Yes,Yes
0138,MYEG,MY E.G. SERVICES BERHAD,Technology,Main Market,1.980,7.13,28.83,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
