Code,Stock,Company,Sector,Market,Price,EPS,ROE,YoY,QoQ,ConQ,TopQ,RYoY,RQoQ,RConQ,RTopQ
0122,AIM,ADVANCE INFORMATION MARKETING BERHAD,Industrial Products & Services,Ace Market,0.265,-1.38,-18.34,No,Yes,No,No,Yes,Yes,No,No
7017,KOMARK,KOMARKCORP BERHAD,Industrial Products & Services,Main Market,1.060,-4.98,-18.43,No,No,No,No,No,No,No,No
0038,ARTRONIQ,ARTRONIQ BERHAD,Industrial Products & Services,Ace Market,0.410,-2.19,-18.49,Yes,No,No,No,Yes,Yes,No,Yes
9814,BERTAM,BERTAM ALLIANCE BERHAD,Property,Main Market,0.115,-14.10,-18.80,No,No,No,No,No,No,No,Yes
0082,GPACKET,GREEN PACKET BERHAD,Telecommunications & Media,Main Market,0.435,-6.78,-18.84,No,No,No,No,Yes,No,No,No
5186,MHB,MALAYSIA MARINE AND HEAVY ENGINEERING HOLDINGS BERHAD,Energy,Main Market,0.460,-23.69,-19.14,No,No,No,No,Yes,No,No,Yes
5115,ALAM,ALAM MARITIM RESOURCES BERHAD,Energy,Main Market,0.095,-7.09,-20.25,Yes,No,No,No,No,No,No,No
0148,SUNZEN,SUNZEN BIOTECH BERHAD,Consumer Products & Services,Ace Market,0.170,-3.26,-20.35,No,No,Yes,Yes,No,No,No,No
0129,SRIDGE,SILVER RIDGE HOLDINGS BHD,Telecommunications & Media,Ace Market,0.525,-1.02,-20.46,Yes,No,No,No,No,No,No,No
03015,MFGROUP,MANFORCE GROUP BERHAD,Consumer Products & Services,Leap Market,0.235,-1.60,-20.62,No,No,No,No,No,No,No,No
0174,IDMENSN,IDIMENSION CONSOLIDATED BHD,Technology,Ace Market,0.080,-1.04,-20.77,Yes,No,No,No,Yes,No,No,No
0173,REV,REV ASIA BERHAD,Telecommunications & Media,Ace Market,0.195,-0.83,-20.82,No,Yes,No,No,No,No,No,Yes
0145,TFP,TFP SOLUTIONS BERHAD,Technology,Ace Market,0.175,-0.80,-21.59,No,No,No,No,No,No,No,No
5166,MINDA,MINDA GLOBAL BERHAD,Consumer Products & Services,Main Market,0.055,-3.12,-22.25,No,Yes,Yes,No,No,No,No,No
0028,SCOPE,SCOPE INDUSTRIES BERHAD,Industrial Products & Services,Ace Market,0.250,-3.48,-22.54,No,No,No,Yes,Yes,Yes,No,Yes
9776,SMCAP,SINMAH CAPITAL BERHAD,Consumer Products & Services,Main Market,0.345,-8.46,-22.59,No,No,No,No,No,No,No,No
7315,AHB,AHB HOLDINGS BERHAD,Consumer Products & Services,Main Market,0.205,-2.69,-22.84,No,No,No,No,No,No,No,No
8435,CEPCO,CONCRETE ENGINEERING PRODUCTS BERHAD,Industrial Products & Services,Main Market,0.550,-24.19,-23.04,No,No,No,No,No,No,No,No
7223,JADI,JADI IMAGING HOLDINGS BERHAD,Consumer Products & Services,Main Market,0.105,-2.62,-23.78,No,Yes,No,No,No,No,No,No
5082,CYMAO,CYMAO HOLDINGS BERHAD,Industrial Products & Services,Main Market,0.845,-13.57,-23.81,No,No,No,No,No,No,No,No
5657,PARKSON,PARKSON HOLDINGS BERHAD,Consumer Products & Services,Main Market,0.175,-36.97,-24.32,No,No,No,No,No,No,No,No
0140,MACPIE,MACPIE BERHAD,Consumer Products & Services,Ace Market,0.425,-2.69,-24.44,No,No,No,No,No,No,No,No
0051,CUSCAPI,CUSCAPI BERHAD,Technology,Main Market,0.100,-2.13,-25.35,No,No,No,No,No,No,No,No
